Scopus Source ID,Title,CiteScore 2023,SNIP 2023,SJR 2023,SCIMAGO Best Quartile 2023,SCIMAGO Categories,Publisher,Type,Open Access,URL Scopus Source ID,Print ISSN,E-ISSN
21100935201,ACM Transactions on Cyber-Physical Systems,5.7,0.947,0.806,Q1,Control and Optimization (Q1); Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Human-Computer Interaction (Q2),ACM,journal,No,https://www.scopus.com/sourceid/21100935201,2378-962X,2378-9638
13044,ACM Transactions on Database Systems,5.6,1.711,1.73,Q1,Information Systems (Q1),ACM,journal,No,https://www.scopus.com/sourceid/13044,0362-5915,1557-4644
21100853526,ACM Transactions on Economics and Computation,3.8,1.346,0.724,Q1,Computer Science (miscellaneous) (Q1); Computational Mathematics (Q2); Economics and Econometrics (Q2); Marketing (Q2); Statistics and Probability (Q2),Association for Computing Machinery (ACM),journal,No,https://www.scopus.com/sourceid/21100853526,2167-8375,2167-8383
24972,ACM Transactions on Graphics,14.3,2.431,7.766,Q1,Computer Graphics and Computer-Aided Design (Q1),ACM,journal,No,https://www.scopus.com/sourceid/24972,0730-0301,1557-7368
21100979314,ACM Transactions on Human-Robot Interaction,7.7,1.871,1.342,Q1,Artificial Intelligence (Q1); Human-Computer Interaction (Q1),ACM,journal,No,https://www.scopus.com/sourceid/21100979314,,2573-9522
18997,ACM Transactions on Information Systems,9.4,3.232,2.262,Q1,"Business, Management and Accounting (miscellaneous) (Q1); Computer Science Applications (Q1); Information Systems (Q1)",ACM,journal,No,https://www.scopus.com/sourceid/18997,1046-8188,1558-2868
19700190323,ACM Transactions on Intelligent Systems and Technology,9.3,1.992,1.882,Q1,Artificial Intelligence (Q1); Theoretical Computer Science (Q1),ACM,journal,No,https://www.scopus.com/sourceid/19700190323,2157-6904,2157-6912
15773,ACM Transactions on Internet Technology,10.3,1.412,1.449,Q1,Computer Networks and Communications (Q1),ACM,journal,No,https://www.scopus.com/sourceid/15773,1533-5399,1557-6051
5800173377,ACM Transactions on Knowledge Discovery from Data,6.7,1.733,1.303,Q1,Computer Science (miscellaneous) (Q1),ACM,journal,No,https://www.scopus.com/sourceid/5800173377,1556-4681,
21100200804,ACM Transactions on Management Information Systems,6.3,1.06,0.815,Q1,Computer Science (miscellaneous) (Q1); Management Information Systems (Q2),ACM,journal,No,https://www.scopus.com/sourceid/21100200804,2158-656X,2158-6578
18120,ACM Transactions on Mathematical Software,5,1.94,1.04,Q1,Applied Mathematics (Q1); Software (Q2),ACM,journal,No,https://www.scopus.com/sourceid/18120,0098-3500,1557-7295
4700151918,"ACM Transactions on Multimedia Computing, Communications and Applications",8.5,1.708,1.399,Q1,Computer Networks and Communications (Q1); Hardware and Architecture (Q1),ACM,journal,No,https://www.scopus.com/sourceid/4700151918,1551-6857,1551-6865
21100832567,ACM Transactions on Privacy and Security,5.2,1.178,0.794,Q1,"Computer Science (miscellaneous) (Q1); Safety, Risk, Reliability and Quality (Q1)",Association for Computing Machinery (ACM),journal,No,https://www.scopus.com/sourceid/21100832567,2471-2566,2471-2574
27836,ACM Transactions on Programming Languages and Systems,3.1,1.508,0.893,Q2,Software (Q2),ACM,journal,No,https://www.scopus.com/sourceid/27836,0164-0925,
21100217640,ACM Transactions on Reconfigurable Technology and Systems,4.9,1.511,0.802,Q1,Computer Science (miscellaneous) (Q1),ACM,journal,No,https://www.scopus.com/sourceid/21100217640,1936-7406,1936-7414
4700152843,ACM Transactions on Sensor Networks,5.9,1.051,1.13,Q1,Computer Networks and Communications (Q1),ACM,journal,No,https://www.scopus.com/sourceid/4700152843,1550-4859,
18121,ACM Transactions on Software Engineering and Methodology,6.3,2.564,1.853,Q1,Software (Q1),ACM,journal,No,https://www.scopus.com/sourceid/18121,1049-331X,1557-7392
21101094825,ACR Open Rheumatology,5.8,0.871,1.161,Q1,Rheumatology (Q1),John Wiley and Sons Inc.,journal,Yes,https://www.scopus.com/sourceid/21101094825,,2578-5745
5800207808,Across Languages and Cultures,1.7,1.223,0.671,Q1,Linguistics and Language (Q1),Akademiai Kiado,journal,No,https://www.scopus.com/sourceid/5800207808,1585-1923,1588-2519
21100912215,ACS Applied Bio Materials,9.4,0.736,0.9,Q1,Biomedical Engineering (Q1); Chemistry (miscellaneous) (Q1); Biochemistry (medical) (Q2); Biomaterials (Q2),American Chemical Society,journal,No,https://www.scopus.com/sourceid/21100912215,,2576-6422
21101019256,ACS Applied Electronic Materials,7.2,0.929,1.058,Q1,"Electronic, Optical and Magnetic Materials (Q1); Materials Chemistry (Q1); Electrochemistry (Q2)",American Chemical Society,journal,No,https://www.scopus.com/sourceid/21101019256,,2637-6113
21100904205,ACS Applied Energy Materials,10.3,0.888,1.467,Q1,Chemical Engineering (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Electrochemistry (Q1); Energy Engineering and Power Technology (Q1); Materials Chemistry (Q1),American Chemical Society,journal,No,https://www.scopus.com/sourceid/21100904205,,2574-0962
19700171101,ACS applied materials & interfaces,16,1.283,2.058,Q1,Materials Science (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1),American Chemical Society,journal,No,https://www.scopus.com/sourceid/19700171101,1944-8244,1944-8252
21100914527,ACS Applied Nano Materials,8.3,0.903,1.134,Q1,Materials Science (miscellaneous) (Q1),American Chemical Society,journal,No,https://www.scopus.com/sourceid/21100914527,,2574-0970
21101028205,ACS Applied Polymer Materials,7.2,0.835,0.982,Q1,Organic Chemistry (Q1); Polymers and Plastics (Q1); Process Chemistry and Technology (Q1),American Chemical Society,journal,No,https://www.scopus.com/sourceid/21101028205,,2637-6105
21101097345,ACS Bio and Med Chem Au,4.1,0.89,1.036,Q1,Biochemistry (Q1); Drug Discovery (Q1); Pharmaceutical Science (Q1); Molecular Biology (Q2),American Chemical Society,journal,Yes,https://www.scopus.com/sourceid/21101097345,,2694-2437
21100461927,ACS Biomaterials Science and Engineering,10.3,0.92,1.086,Q1,Biomedical Engineering (Q1); Biomaterials (Q2),American Chemical Society,journal,No,https://www.scopus.com/sourceid/21100461927,,2373-9878
19700188320,ACS Catalysis,20.8,2.022,3.847,Q1,Catalysis (Q1); Chemistry (miscellaneous) (Q1),American Chemical Society,journal,No,https://www.scopus.com/sourceid/19700188320,,2155-5435
21100824912,ACS Central Science,25.5,2.124,3.722,Q1,Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1),American Chemical Society,journal,Yes,https://www.scopus.com/sourceid/21100824912,2374-7943,2374-7951
5300152227,ACS Chemical Biology,7.5,0.833,1.344,Q1,Biochemistry (Q1); Medicine (miscellaneous) (Q1); Molecular Medicine (Q1),American Chemical Society,journal,No,https://www.scopus.com/sourceid/5300152227,1554-8929,1554-8937
19700172804,ACS Chemical Neuroscience,9.2,0.838,1.06,Q1,Biochemistry (Q1); Medicine (miscellaneous) (Q1); Physiology (Q1); Cell Biology (Q2); Cognitive Neuroscience (Q2),American Chemical Society,journal,No,https://www.scopus.com/sourceid/19700172804,,1948-7193
21100832985,ACS Energy Letters,31.2,2.604,7.202,Q1,"Chemistry (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Materials Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)",American Chemical Society,journal,No,https://www.scopus.com/sourceid/21100832985,,2380-8195
21101089625,ACS Environmental Au,7.1,1.378,2.043,Q1,Environmental Engineering (Q1); Environmental Science (miscellaneous) (Q1); Water Science and Technology (Q1),American Chemical Society,journal,Yes,https://www.scopus.com/sourceid/21101089625,,2694-2518
21101109915,ACS ES and T Engineering,8.5,1.257,1.932,Q1,Chemical Engineering (miscellaneous) (Q1); Chemical Health and Safety (Q1); Environmental Chemistry (Q1); Process Chemistry and Technology (Q1),American Chemical Society,journal,No,https://www.scopus.com/sourceid/21101109915,,2690-0645
21101091928,ACS ES and T Water,5.4,0.902,1.318,Q1,Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Water Science and Technology (Q1),American Chemical Society,journal,No,https://www.scopus.com/sourceid/21101091928,,2690-0637
21100461918,ACS Infectious Diseases,9.7,0.97,1.179,Q1,Infectious Diseases (Q1),American Chemical Society,journal,No,https://www.scopus.com/sourceid/21100461918,,2373-8227
21100209317,ACS Macro Letters,10.4,1.083,1.491,Q1,Inorganic Chemistry (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1),American Chemical Society,journal,No,https://www.scopus.com/sourceid/21100209317,,2161-1653
21101088936,ACS Materials Au,5,1.224,1.505,Q1,"Biomaterials (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Chemistry (Q1); Polymers and Plastics (Q1)",American Chemical Society,journal,Yes,https://www.scopus.com/sourceid/21101088936,,2694-2461
21100944562,ACS Materials Letters,14.6,1.429,3.003,Q1,Biomedical Engineering (Q1); Chemical Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1),American Chemical Society,journal,No,https://www.scopus.com/sourceid/21100944562,,2639-4979
21101128145,ACS Measurement Science Au,5.2,1.451,0.849,Q1,Analytical Chemistry (Q1); Spectroscopy (Q1); Electrochemistry (Q2),American Chemical Society,journal,Yes,https://www.scopus.com/sourceid/21101128145,,2694-250X
19700177127,ACS Medicinal Chemistry Letters,7.3,0.816,0.883,Q1,Drug Discovery (Q1); Organic Chemistry (Q1); Biochemistry (Q2),American Chemical Society,journal,No,https://www.scopus.com/sourceid/19700177127,,1948-5875
11500153511,ACS Nano,26,2.267,4.593,Q1,Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1); Physics and Astronomy (miscellaneous) (Q1),American Chemical Society,journal,No,https://www.scopus.com/sourceid/11500153511,1936-0851,1936-086X
21101103288,ACS Nanoscience Au,4.2,0.898,1.21,Q1,Chemistry (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1),American Chemical Society,journal,Yes,https://www.scopus.com/sourceid/21101103288,,2694-2496
21101130465,ACS Organic and Inorganic Au,4.1,0.932,0.851,Q1,Inorganic Chemistry (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1),American Chemical Society,journal,Yes,https://www.scopus.com/sourceid/21101130465,,2694-247X
21101018849,ACS Pharmacology and Translational Science,10,0.982,1.286,Q1,Pharmacology (Q1); Pharmacology (medical) (Q1),American Chemical Society,journal,No,https://www.scopus.com/sourceid/21101018849,,2575-9108
21100368207,ACS Photonics,11.9,1.499,2.089,Q1,"Atomic and Molecular Physics, and Optics (Q1); Biotechnology (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1)",American Chemical Society,journal,No,https://www.scopus.com/sourceid/21100368207,,2330-4022
21101127319,ACS Physical Chemistry Au,3.7,0.948,0.951,Q1,Chemistry (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Physical and Theoretical Chemistry (Q1); Computer Science Applications (Q2),American Chemical Society,journal,Yes,https://www.scopus.com/sourceid/21101127319,,2694-2445
