ERA Code,ERA Acronym,ERA Conference Name,Acronym,Conference Name (DBLP),GS Venue Code,GS Name,Google Scholar H5-Index 2023,Google Scholar H5-Index 2022,CORE ID,CORE Conference Name,ICORE 2023 Rank,CORE 2021 Rank,CORE 2020 Rank,CORE 2018 Rank,ERA 2010 Rank,DBLP Link,DBLP URL,Google Scholar Metrics Link,GS URL,Comment
42782,ECOOP,European Conference on Object-oriented Programming (ECOOP),ECOOP,European Conference on Object-Oriented Programming,QHz4g2YxOYgJ,European Conference on Object-oriented Programming (ECOOP),18,17,488,European Conference on Object-Oriented Programming,A,A,A,A,A,View,https://dblp.org/db/conf/ecoop/,View,https://scholar.google.com/citations?view_op=list_hcore&venue=QHz4g2YxOYgJ.2023,~Met objective criteria as at May 2021
42757,ECRTS,Euromicro Conference on Real-Time Systems,ECRTS,Euromicro Conference on Real-Time Systems,TjHsSEvIdkIJ,Euromicro Conference on Real-Time Systems,21,22,463,Euromicro Conference on Real-Time Systems,B,A,A,A,A,View,https://dblp.org/db/conf/ecrts/,View,https://scholar.google.com/citations?view_op=list_hcore&venue=TjHsSEvIdkIJ.2023,
42824,EDBT,International Conference on Extending Database Technology,EDBT,International Conference on Extending Database Technology,WuE3NzMRZNAJ,International Conference on Extending Database Technology (EDBT),26,28,528,Extending Database Technology,A,A,A,A,A,View,https://dblp.org/db/conf/edbt/,View,https://scholar.google.com/citations?view_op=list_hcore&venue=WuE3NzMRZNAJ.2023,
42737,EDM,International Conference on Educational Data Mining,EDM,Educational Data Mining,omHmP0TWqbUJ,International Conference on Educational Data Mining (EDM),29,26,446,Educational Data Mining,B,B,B,B,B,View,https://dblp.org/db/conf/edm/,View,https://scholar.google.com/citations?view_op=list_hcore&venue=omHmP0TWqbUJ.2023,Added 22/01/2020 as it met objective criteria. Request made by Dragan Gasevic (DS&AI).
42403,International Conference of the IEEE Engineering in Medicine and Biology Society,EMBC,EMBC,Annual International Conference of the IEEE Engineering in Medicine and Biology Society,la0gAKbHmIkJ,"International Conference of the IEEE Engineering in Medicine and Biology Society, EMBC",48,,2019,The Annual International Conference of the IEEE Engineering in Medicine and Biology Society,-,-,-,C,-,View,https://dblp.org/db/conf/embc/index.html,View,https://scholar.google.com/citations?view_op=list_hcore&venue=la0gAKbHmIkJ.2023,Met objective criteria in August 2023.  Requested by Zhaolin Chen (DSAI).
42739,EMNLP,Conference on Empirical Methods in Natural Language Processing (EMNLP),EMNLP,Conference on Empirical Methods in Natural Language Processing,LqrQjvOguiMJ,Conference on Empirical Methods in Natural Language Processing (EMNLP),176,154,448,Empirical Methods in Natural Language Processing,A*,A,A,A,A,View,https://dblp.org/db/conf/emnlp/,View,https://scholar.google.com/citations?view_op=list_hcore&venue=LqrQjvOguiMJ.2023,
42807,ESA,European Symposium on Algorithms,ESA,European Symposium on Algorithms,sNtxnFuOq5YJ,European Symposium on Algorithms,23,22,511,European Symposium on Algorithms,A,A,A,A,A,View,https://dblp.org/db/conf/esa/,View,https://scholar.google.com/citations?view_op=list_hcore&venue=sNtxnFuOq5YJ.2023,
50986,ESEC/FSE,ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering (previously ACM SIGSOFT International Symposium on Foundations of Software Engineering),ESEC,European Software Engineering Conference,CwfZO4J4a4UJ,ACM SIGSOFT International Symposium on Foundations of Software Engineering,60,57,463,Euromicro Conference on Real-Time Systems,B,A,A,A,A,View,https://dblp.org/db/conf/esec/,View,https://scholar.google.com/citations?view_op=list_hcore&venue=CwfZO4J4a4UJ.2023,
43681,ESEM,International Symposium on Empirical Software Engineering and Measurement,ESEM,International Symposium on Empirical Software Engineering and Measurement,TWG2GULnchAJ,"International Symposium on Empirical Software Engineering and Measurement, ESEM",30,28,1376,International Symposium on Empirical Software Engineering and Measurement,A,A,A,A,A,View,https://dblp.org/db/conf/esem/,View,https://scholar.google.com/citations?view_op=list_hcore&venue=TWG2GULnchAJ.2023,
42810,ESOP,European Symposium on Programming,ESOP,European Symposium on Programming,UtpXAOWmk9EJ,European Symposium on Programming (ESOP),27,27,514,European Symposium on Programming,A,A,A,A,A,View,https://dblp.org/db/conf/esop/,View,https://scholar.google.com/citations?view_op=list_hcore&venue=UtpXAOWmk9EJ.2023,
